int_corr,diff_age,diff_date,diff_go_out,sinc_o,attr_o,fun_o,diff_intel,diff_sinc,diff_shar,diff_amb,diff_attr,diff_fun,intel_o,match
0.16,5.0,2.0,1.0,0,1,0,10.0,0.0,5.0,5.0,5.0,5.0,0,0.0
0.41,8.0,4.0,2.0,0,0,0,5.0,5.0,5.0,5.0,5.0,5.0,0,0.0
0.69,6.0,4.0,2.0,0,1,0,5.0,15.0,0.0,5.0,10.0,15.0,1,0.0
0.03,5.0,5.0,2.0,1,1,1,0.0,0.0,10.0,10.0,10.0,10.0,1,1.0
0.42,0.0,4.0,1.0,1,0,1,10.0,10.0,10.0,10.0,15.0,5.0,1,0.0
0.49,3.0,4.0,0.0,1,1,0,25.0,20.0,5.0,10.0,5.0,15.0,1,0.0
0.35,3.0,3.0,1.0,0,0,0,9.0,15.0,10.0,18.0,1.0,3.0,0,0.0
0.34,3.0,3.0,1.0,1,1,0,7.0,15.0,10.0,14.0,0.0,2.0,1,0.0
0.31,3.0,1.0,1.0,1,1,1,8.0,22.0,2.0,17.0,13.0,2.0,1,0.0
0.18,4.0,0.0,0.0,1,0,1,5.0,25.0,0.0,15.0,10.0,5.0,1,0.0
0.13,1.0,3.0,0.0,1,1,1,10.0,15.0,0.0,0.0,15.0,10.0,1,1.0
0.23,4.0,1.0,1.0,1,1,0,5.0,10.0,0.0,10.0,5.0,0.0,0,0.0
0.08,2.0,1.0,1.0,1,1,1,5.0,0.0,5.0,10.0,0.0,10.0,1,0.0
0.11,1.0,0.0,1.0,1,1,0,0.0,15.0,5.0,15.0,0.0,5.0,1,0.0
0.49,4.0,1.0,0.0,1,0,1,10.0,5.0,5.0,15.0,5.0,0.0,1,0.0
0.67,1.0,1.0,1.0,1,1,0,25.0,10.0,5.0,0.0,10.0,10.0,1,1.0
0.28,5.0,0.0,2.0,0,0,0,9.0,5.0,20.0,8.0,16.0,2.0,0,1.0
0.34,5.0,0.0,2.0,1,0,1,7.0,5.0,20.0,4.0,15.0,3.0,1,0.0
0.32,5.0,2.0,2.0,1,1,1,8.0,12.0,8.0,7.0,2.0,7.0,1,0.0
0.23,6.0,3.0,1.0,0,0,0,5.0,15.0,10.0,5.0,5.0,10.0,0,0.0
0.28,1.0,0.0,1.0,0,1,0,10.0,5.0,10.0,10.0,0.0,15.0,0,0.0
0.53,2.0,2.0,0.0,1,1,0,5.0,0.0,10.0,0.0,10.0,5.0,1,1.0
0.32,0.0,2.0,0.0,1,0,0,5.0,10.0,5.0,0.0,15.0,5.0,1,1.0
0.25,1.0,3.0,0.0,1,1,1,0.0,5.0,15.0,5.0,15.0,0.0,1,0.0
0.14,6.0,2.0,1.0,1,0,0,10.0,5.0,15.0,5.0,20.0,5.0,1,0.0
0.48,1.0,2.0,0.0,1,1,0,32.0,2.0,7.0,4.0,20.0,7.0,0,1.0
0.39,7.0,1.0,1.0,1,1,1,2.0,3.0,8.0,12.0,26.0,5.0,1,0.0
0.15,7.0,1.0,1.0,1,1,1,0.0,3.0,8.0,8.0,25.0,6.0,1,0.0
0.06,7.0,1.0,1.0,1,1,1,1.0,4.0,4.0,11.0,12.0,10.0,1,0.0
0.15,8.0,2.0,0.0,0,0,0,2.0,7.0,2.0,9.0,15.0,13.0,1,0.0
0.13,3.0,1.0,0.0,1,1,0,3.0,3.0,2.0,6.0,10.0,18.0,0,0.0
0.13,0.0,1.0,1.0,1,1,0,2.0,8.0,2.0,4.0,20.0,8.0,0,0.0
0.08,2.0,1.0,1.0,1,1,0,12.0,18.0,7.0,4.0,25.0,2.0,1,1.0
0.06,3.0,2.0,1.0,0,0,0,7.0,3.0,3.0,9.0,25.0,3.0,0,0.0
0.27,8.0,1.0,0.0,1,0,0,3.0,13.0,3.0,9.0,30.0,8.0,1,0.0
0.26,3.0,1.0,0.0,1,1,1,40.0,0.0,5.0,10.0,30.0,25.0,1,0.0
0.22,3.0,0.0,1.0,0,1,0,6.0,5.0,20.0,18.0,36.0,13.0,0,0.0
0.08,3.0,0.0,1.0,0,1,1,8.0,5.0,20.0,14.0,35.0,12.0,1,0.0
0.11,3.0,2.0,1.0,1,1,1,7.0,2.0,8.0,17.0,22.0,8.0,1,0.0
0.27,4.0,3.0,0.0,1,1,1,10.0,5.0,10.0,15.0,25.0,5.0,1,0.0
0.14,1.0,0.0,0.0,1,1,0,5.0,5.0,10.0,0.0,20.0,0.0,0,0.0
0.13,4.0,2.0,1.0,0,1,0,10.0,10.0,10.0,10.0,30.0,10.0,0,0.0
0.23,2.0,2.0,1.0,1,1,1,20.0,20.0,5.0,10.0,35.0,20.0,1,0.0
0.03,1.0,3.0,1.0,1,1,1,15.0,5.0,15.0,15.0,35.0,15.0,1,0.0
0.33,4.0,2.0,0.0,0,1,0,5.0,15.0,15.0,15.0,40.0,10.0,1,0.0
0.59,2.0,3.0,0.0,1,0,0,40.0,15.0,10.0,10.0,10.0,15.0,1,0.0
0.38,4.0,2.0,1.0,0,0,0,6.0,10.0,5.0,18.0,16.0,3.0,0,0.0
0.35,4.0,2.0,1.0,1,1,1,8.0,10.0,5.0,14.0,15.0,2.0,1,0.0
0.02,4.0,0.0,1.0,1,1,1,7.0,17.0,7.0,17.0,2.0,2.0,1,0.0
0.56,5.0,1.0,0.0,1,1,1,10.0,20.0,5.0,15.0,5.0,5.0,1,0.0
0.13,0.0,2.0,0.0,1,0,1,5.0,10.0,5.0,0.0,0.0,10.0,1,0.0
0.2,3.0,0.0,1.0,0,1,0,10.0,5.0,5.0,10.0,10.0,0.0,0,0.0
0.23,1.0,0.0,1.0,1,1,1,20.0,5.0,10.0,10.0,15.0,10.0,1,0.0
0.14,0.0,1.0,1.0,1,0,1,15.0,10.0,0.0,15.0,15.0,5.0,1,0.0
0.38,5.0,0.0,0.0,1,0,0,5.0,0.0,0.0,15.0,20.0,0.0,1,0.0
0.45,4.0,3.0,1.0,1,0,0,50.0,0.0,0.0,10.0,20.0,40.0,1,0.0
0.36,2.0,2.0,0.0,0,0,0,16.0,5.0,15.0,18.0,26.0,28.0,0,0.0
0.06,2.0,2.0,0.0,1,1,0,18.0,5.0,15.0,14.0,25.0,27.0,1,1.0
0.05,2.0,0.0,0.0,1,1,1,17.0,2.0,3.0,17.0,12.0,23.0,1,0.0
0.14,3.0,1.0,1.0,1,0,0,20.0,5.0,5.0,15.0,15.0,20.0,1,0.0
0.35,2.0,2.0,1.0,0,1,0,15.0,5.0,5.0,0.0,10.0,15.0,0,0.0
0.26,5.0,0.0,2.0,1,1,0,20.0,10.0,5.0,10.0,20.0,25.0,0,1.0
0.11,3.0,0.0,2.0,1,1,1,30.0,20.0,0.0,10.0,25.0,35.0,1,1.0
0.06,2.0,1.0,2.0,1,1,1,25.0,5.0,10.0,15.0,25.0,30.0,1,1.0
0.15,3.0,0.0,1.0,1,0,0,15.0,15.0,10.0,15.0,30.0,25.0,1,0.0
,,,,0,0,0,,,,,,,0,
,,,,0,0,0,,,,,,,0,
,,,,0,0,0,,,,,,,0,
,,,,0,0,0,,,,,,,0,
,,,,0,0,0,,,,,,,0,
,,,,0,0,0,,,,,,,0,
,,,,0,0,0,,,,,,,0,
,,,,0,0,0,,,,,,,0,
,,,,0,0,0,,,,,,,0,
,,,,0,0,0,,,,,,,0,
0.38,8.0,4.0,0.0,1,1,0,20.0,5.0,0.0,5.0,15.0,15.0,1,0.0
0.14,2.0,3.0,1.0,0,0,1,14.0,10.0,15.0,13.0,21.0,3.0,1,0.0
0.22,2.0,3.0,1.0,1,1,1,12.0,10.0,15.0,9.0,20.0,2.0,1,0.0
0.53,2.0,1.0,1.0,1,1,1,13.0,3.0,3.0,12.0,7.0,2.0,1,0.0
0.1,1.0,0.0,0.0,1,1,1,10.0,0.0,5.0,10.0,10.0,5.0,1,0.0
0.18,6.0,3.0,0.0,0,1,1,15.0,10.0,5.0,5.0,5.0,10.0,0,0.0
0.11,9.0,1.0,1.0,1,1,0,10.0,15.0,5.0,5.0,15.0,0.0,0,0.0
0.03,7.0,1.0,1.0,1,1,1,0.0,25.0,0.0,5.0,20.0,10.0,1,0.0
0.45,6.0,0.0,1.0,1,1,0,5.0,10.0,10.0,10.0,20.0,5.0,1,0.0
0.59,1.0,1.0,0.0,1,1,1,15.0,20.0,10.0,10.0,25.0,0.0,1,0.0
0.48,2.0,3.0,3.0,0,0,0,20.0,20.0,0.0,10.0,10.0,0.0,0,0.0
0.43,0.0,2.0,1.0,1,1,0,25.0,20.0,0.0,10.0,15.0,0.0,0,0.0
0.22,1.0,0.0,1.0,0,0,0,45.0,30.0,5.0,5.0,0.0,15.0,0,0.0
0.21,4.0,3.0,0.0,1,1,0,45.0,5.0,25.0,5.0,30.0,0.0,0,0.0
0.46,6.0,0.0,1.0,1,1,0,49.0,8.0,4.0,9.0,35.0,35.0,0,0.0
0.5,7.0,1.0,1.0,1,1,1,25.0,5.0,0.0,5.0,5.0,20.0,0,1.0
0.49,3.0,4.0,0.0,0,0,0,25.0,20.0,5.0,10.0,5.0,15.0,0,0.0
0.67,1.0,1.0,1.0,1,1,0,25.0,10.0,5.0,0.0,10.0,10.0,1,1.0
0.48,1.0,2.0,0.0,0,1,0,32.0,2.0,7.0,4.0,20.0,7.0,0,1.0
0.26,3.0,1.0,0.0,0,0,1,40.0,0.0,5.0,10.0,30.0,25.0,0,0.0
0.59,2.0,3.0,0.0,0,1,0,40.0,15.0,10.0,10.0,10.0,15.0,1,0.0
0.45,4.0,3.0,1.0,0,1,0,50.0,0.0,0.0,10.0,20.0,40.0,0,0.0
0.09,5.0,,,1,1,0,25.0,0.0,0.0,5.0,15.0,15.0,1,0.0
0.38,8.0,4.0,0.0,0,1,0,20.0,5.0,0.0,5.0,15.0,15.0,1,0.0
0.31,4.0,2.0,4.0,0,0,0,14.0,15.0,15.0,18.0,16.0,12.0,0,0.0
0.3,6.0,1.0,2.0,0,0,0,9.0,15.0,15.0,18.0,21.0,12.0,0,0.0
0.44,7.0,1.0,2.0,0,0,0,11.0,25.0,10.0,13.0,6.0,3.0,0,0.0
0.46,2.0,2.0,1.0,1,0,0,11.0,10.0,10.0,13.0,36.0,12.0,0,1.0
0.12,0.0,1.0,0.0,1,1,1,15.0,13.0,19.0,17.0,41.0,23.0,1,0.0
0.48,1.0,2.0,0.0,0,0,0,9.0,0.0,15.0,13.0,11.0,8.0,0,0.0
0.35,3.0,3.0,1.0,0,0,0,9.0,15.0,10.0,18.0,1.0,3.0,0,0.0
0.28,5.0,0.0,2.0,1,1,1,9.0,5.0,20.0,8.0,16.0,2.0,0,1.0
0.39,7.0,1.0,1.0,1,0,0,2.0,3.0,8.0,12.0,26.0,5.0,1,0.0
0.22,3.0,0.0,1.0,1,1,1,6.0,5.0,20.0,18.0,36.0,13.0,0,0.0
0.38,4.0,2.0,1.0,1,1,1,6.0,10.0,5.0,18.0,16.0,3.0,0,0.0
0.36,2.0,2.0,0.0,0,1,0,16.0,5.0,15.0,18.0,26.0,28.0,0,0.0
0.4,1.0,,,1,1,1,9.0,5.0,15.0,13.0,21.0,3.0,1,0.0
0.14,2.0,3.0,1.0,1,0,1,14.0,10.0,15.0,13.0,21.0,3.0,1,0.0
0.4,4.0,2.0,4.0,0,0,0,12.0,15.0,15.0,14.0,15.0,13.0,0,0.0
0.47,6.0,1.0,2.0,0,0,0,7.0,15.0,15.0,14.0,20.0,13.0,0,0.0
0.44,7.0,1.0,2.0,0,0,0,13.0,25.0,10.0,9.0,5.0,2.0,0,0.0
0.53,2.0,2.0,1.0,1,0,0,13.0,10.0,10.0,9.0,35.0,13.0,0,0.0
0.35,0.0,1.0,0.0,1,0,1,17.0,13.0,19.0,13.0,40.0,22.0,1,0.0
0.41,1.0,2.0,0.0,1,0,0,7.0,0.0,15.0,9.0,10.0,7.0,0,1.0
0.34,3.0,3.0,1.0,0,0,0,7.0,15.0,10.0,14.0,0.0,2.0,0,0.0
0.34,5.0,0.0,2.0,1,0,1,7.0,5.0,20.0,4.0,15.0,3.0,1,0.0
0.15,7.0,1.0,1.0,1,1,0,0.0,3.0,8.0,8.0,25.0,6.0,0,0.0
0.08,3.0,0.0,1.0,0,0,0,8.0,5.0,20.0,14.0,35.0,12.0,0,0.0
0.35,4.0,2.0,1.0,0,1,0,8.0,10.0,5.0,14.0,15.0,2.0,0,0.0
0.06,2.0,2.0,0.0,0,1,0,18.0,5.0,15.0,14.0,25.0,27.0,0,1.0
0.14,1.0,,,1,1,1,7.0,5.0,15.0,9.0,20.0,2.0,1,1.0
0.22,2.0,3.0,1.0,1,0,1,12.0,10.0,15.0,9.0,20.0,2.0,1,0.0
0.59,4.0,0.0,4.0,0,0,0,13.0,22.0,3.0,17.0,2.0,17.0,0,0.0
0.04,6.0,1.0,2.0,1,1,1,8.0,22.0,3.0,17.0,7.0,17.0,1,0.0
0.45,7.0,3.0,2.0,0,0,0,12.0,32.0,2.0,12.0,8.0,2.0,0,0.0
0.48,2.0,0.0,1.0,1,0,0,12.0,3.0,22.0,12.0,22.0,17.0,1,0.0
0.78,0.0,3.0,0.0,1,1,1,16.0,6.0,7.0,16.0,27.0,18.0,1,1.0
0.0,1.0,4.0,0.0,0,1,1,8.0,7.0,3.0,12.0,3.0,3.0,0,1.0
0.31,3.0,1.0,1.0,0,1,0,8.0,22.0,2.0,17.0,13.0,2.0,0,0.0
0.32,5.0,2.0,2.0,1,1,1,8.0,12.0,8.0,7.0,2.0,7.0,0,0.0
0.06,7.0,1.0,1.0,0,1,1,1.0,4.0,4.0,11.0,12.0,10.0,0,0.0
0.11,3.0,2.0,1.0,0,0,1,7.0,2.0,8.0,17.0,22.0,8.0,0,0.0
0.02,4.0,0.0,1.0,0,1,1,7.0,17.0,7.0,17.0,2.0,2.0,0,0.0
0.05,2.0,0.0,0.0,0,1,0,17.0,2.0,3.0,17.0,12.0,23.0,0,0.0
0.05,1.0,,,1,1,1,8.0,2.0,3.0,12.0,7.0,2.0,1,0.0
0.53,2.0,1.0,1.0,1,1,1,13.0,3.0,3.0,12.0,7.0,2.0,1,0.0
0.17,5.0,1.0,3.0,0,0,0,10.0,25.0,5.0,15.0,5.0,20.0,0,0.0
0.12,7.0,2.0,1.0,0,0,0,5.0,25.0,5.0,15.0,10.0,20.0,0,0.0
0.21,8.0,4.0,1.0,0,0,0,15.0,35.0,0.0,10.0,5.0,5.0,0,0.0
0.08,3.0,1.0,0.0,1,0,0,15.0,0.0,20.0,10.0,25.0,20.0,1,0.0
0.01,1.0,4.0,1.0,1,1,1,19.0,3.0,9.0,14.0,30.0,15.0,1,1.0
0.73,0.0,5.0,1.0,1,0,0,5.0,10.0,5.0,10.0,0.0,0.0,1,1.0
0.18,4.0,0.0,0.0,0,0,0,5.0,25.0,0.0,15.0,10.0,5.0,1,0.0
0.23,6.0,3.0,1.0,0,0,0,5.0,15.0,10.0,5.0,5.0,10.0,1,0.0
0.15,8.0,2.0,0.0,1,0,1,2.0,7.0,2.0,9.0,15.0,13.0,0,0.0
0.27,4.0,3.0,0.0,0,0,1,10.0,5.0,10.0,15.0,25.0,5.0,0,0.0
0.56,5.0,1.0,0.0,0,0,0,10.0,20.0,5.0,15.0,5.0,5.0,0,0.0
0.14,3.0,1.0,1.0,0,0,0,20.0,5.0,5.0,15.0,15.0,20.0,0,0.0
0.01,2.0,,,1,1,1,5.0,5.0,5.0,10.0,10.0,5.0,0,1.0
0.1,1.0,0.0,0.0,1,1,1,10.0,0.0,5.0,10.0,10.0,5.0,0,0.0
0.22,0.0,2.0,3.0,0,0,0,15.0,15.0,5.0,0.0,0.0,25.0,0,0.0
0.01,2.0,1.0,1.0,0,1,0,10.0,15.0,5.0,0.0,5.0,25.0,0,0.0
0.01,3.0,1.0,1.0,0,0,0,10.0,25.0,0.0,5.0,10.0,10.0,0,0.0
0.1,2.0,2.0,0.0,1,1,1,10.0,10.0,20.0,5.0,20.0,25.0,1,0.0
0.12,4.0,1.0,1.0,1,1,1,14.0,13.0,9.0,1.0,25.0,10.0,0,0.0
0.16,5.0,2.0,1.0,1,1,0,10.0,0.0,5.0,5.0,5.0,5.0,0,0.0
0.13,1.0,3.0,0.0,1,1,1,10.0,15.0,0.0,0.0,15.0,10.0,1,1.0
0.28,1.0,0.0,1.0,1,1,1,10.0,5.0,10.0,10.0,0.0,15.0,1,0.0
0.13,3.0,1.0,0.0,1,0,0,3.0,3.0,2.0,6.0,10.0,18.0,0,0.0
0.14,1.0,0.0,0.0,1,1,0,5.0,5.0,10.0,0.0,20.0,0.0,0,0.0
0.13,0.0,2.0,0.0,1,1,0,5.0,10.0,5.0,0.0,0.0,10.0,1,0.0
0.35,2.0,2.0,1.0,0,0,0,15.0,5.0,5.0,0.0,10.0,15.0,0,0.0
0.11,3.0,,,1,1,0,10.0,5.0,5.0,5.0,5.0,10.0,1,0.0
0.18,6.0,3.0,0.0,1,1,0,15.0,10.0,5.0,5.0,5.0,10.0,1,0.0
0.32,3.0,0.0,2.0,0,0,0,10.0,10.0,5.0,10.0,10.0,15.0,0,0.0
0.19,1.0,1.0,0.0,0,0,0,5.0,10.0,5.0,10.0,15.0,15.0,0,0.0
0.07,0.0,3.0,0.0,0,0,0,15.0,20.0,0.0,5.0,0.0,0.0,0,0.0
0.33,5.0,0.0,1.0,1,1,0,15.0,15.0,20.0,5.0,30.0,15.0,1,0.0
0.44,7.0,3.0,2.0,1,0,1,19.0,18.0,9.0,9.0,35.0,20.0,1,0.0
0.41,8.0,4.0,2.0,1,0,0,5.0,5.0,5.0,5.0,5.0,5.0,0,0.0
0.23,4.0,1.0,1.0,0,0,0,5.0,10.0,0.0,10.0,5.0,0.0,0,0.0
0.53,2.0,2.0,0.0,1,0,0,5.0,0.0,10.0,0.0,10.0,5.0,0,1.0
0.13,0.0,1.0,1.0,1,0,1,2.0,8.0,2.0,4.0,20.0,8.0,1,0.0
0.13,4.0,2.0,1.0,1,0,1,10.0,10.0,10.0,10.0,30.0,10.0,0,0.0
0.2,3.0,0.0,1.0,0,0,0,10.0,5.0,5.0,10.0,10.0,0.0,0,0.0
0.26,5.0,0.0,2.0,0,0,0,20.0,10.0,5.0,10.0,20.0,25.0,0,1.0
0.11,6.0,,,1,0,1,5.0,10.0,5.0,5.0,15.0,0.0,1,0.0
0.11,9.0,1.0,1.0,1,0,1,10.0,15.0,5.0,5.0,15.0,0.0,1,0.0
0.27,1.0,0.0,2.0,0,0,0,0.0,0.0,0.0,10.0,15.0,5.0,0,1.0
0.18,1.0,1.0,0.0,1,1,1,5.0,0.0,0.0,10.0,20.0,5.0,0,1.0
0.24,2.0,3.0,0.0,0,1,0,25.0,10.0,5.0,5.0,5.0,10.0,0,0.0
0.4,3.0,0.0,1.0,1,0,1,25.0,25.0,25.0,5.0,35.0,5.0,1,1.0
0.24,5.0,3.0,2.0,1,1,0,29.0,28.0,4.0,9.0,40.0,30.0,1,0.0
0.69,6.0,4.0,2.0,1,0,0,5.0,15.0,0.0,5.0,10.0,15.0,0,0.0
0.08,2.0,1.0,1.0,0,0,0,5.0,0.0,5.0,10.0,0.0,10.0,0,0.0
0.32,0.0,2.0,0.0,1,1,0,5.0,10.0,5.0,0.0,15.0,5.0,1,1.0
0.08,2.0,1.0,1.0,1,0,1,12.0,18.0,7.0,4.0,25.0,2.0,1,1.0
0.23,2.0,2.0,1.0,1,1,0,20.0,20.0,5.0,10.0,35.0,20.0,1,0.0
0.23,1.0,0.0,1.0,1,1,0,20.0,5.0,10.0,10.0,15.0,10.0,0,0.0
0.11,3.0,0.0,2.0,1,1,0,30.0,20.0,0.0,10.0,25.0,35.0,0,1.0
0.15,4.0,,,1,1,0,5.0,20.0,0.0,5.0,20.0,10.0,1,0.0
0.03,7.0,1.0,1.0,1,1,0,0.0,25.0,0.0,5.0,20.0,10.0,1,0.0
0.19,0.0,1.0,2.0,0,0,0,5.0,15.0,10.0,15.0,15.0,10.0,0,0.0
0.2,2.0,2.0,0.0,1,1,1,0.0,15.0,10.0,15.0,20.0,10.0,0,0.0
0.01,3.0,4.0,0.0,0,0,0,20.0,25.0,5.0,10.0,5.0,5.0,0,0.0
0.06,2.0,1.0,1.0,0,1,0,20.0,10.0,15.0,10.0,35.0,10.0,0,0.0
0.31,4.0,4.0,2.0,0,0,0,24.0,13.0,14.0,14.0,40.0,25.0,0,0.0
0.03,5.0,5.0,2.0,0,0,0,0.0,0.0,10.0,10.0,10.0,10.0,1,1.0
0.11,1.0,0.0,1.0,0,0,0,0.0,15.0,5.0,15.0,0.0,5.0,0,0.0
0.25,1.0,3.0,0.0,1,1,0,0.0,5.0,15.0,5.0,15.0,0.0,1,0.0
0.06,3.0,2.0,1.0,1,1,0,7.0,3.0,3.0,9.0,25.0,3.0,1,0.0
0.03,1.0,3.0,1.0,0,0,0,15.0,5.0,15.0,15.0,35.0,15.0,0,0.0
0.14,0.0,1.0,1.0,0,0,0,15.0,10.0,0.0,15.0,15.0,5.0,0,0.0
0.06,2.0,1.0,2.0,0,0,0,25.0,5.0,10.0,15.0,25.0,30.0,0,1.0
0.46,3.0,,,1,1,0,0.0,5.0,10.0,10.0,20.0,5.0,1,0.0
0.45,6.0,0.0,1.0,0,0,0,5.0,10.0,10.0,10.0,20.0,5.0,0,0.0
0.0,5.0,0.0,3.0,0,0,0,15.0,5.0,10.0,15.0,20.0,15.0,0,0.0
0.21,7.0,1.0,1.0,1,0,0,10.0,5.0,10.0,15.0,25.0,15.0,0,0.0
0.17,8.0,3.0,1.0,0,0,0,10.0,15.0,5.0,10.0,10.0,0.0,0,0.0
0.01,3.0,0.0,0.0,1,1,0,10.0,20.0,15.0,10.0,40.0,15.0,0,0.0
0.17,1.0,3.0,1.0,1,1,0,14.0,23.0,14.0,14.0,45.0,20.0,1,0.0
0.42,0.0,4.0,1.0,1,1,0,10.0,10.0,10.0,10.0,15.0,5.0,1,0.0
0.49,4.0,1.0,0.0,1,0,0,10.0,5.0,5.0,15.0,5.0,0.0,0,0.0
